Current Official Name of Satellite,Country of Operator/Owner,Users,Purpose,Class of Orbit,Perigee (km),Apogee (km),Launch Mass (kg.),Date of Launch,Expected Lifetime (yrs.),Satellite Status,Risk Cluster
OneWeb-0394 ,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2021-12-27,5.0,Active,High Risk
OneWeb-0395 ,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2021-12-27,5.0,Active,High Risk
OneWeb-0396 ,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2021-12-27,5.0,Active,High Risk
OneWeb-0397 ,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2021-12-27,5.0,Active,High Risk
OneWeb-0398 ,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2021-12-27,5.0,Active,High Risk
OneWeb-0399 ,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2021-12-27,5.0,Active,High Risk
OneWeb-0400 ,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2021-12-27,5.0,Active,High Risk
OneWeb-0401 ,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2021-12-27,5.0,Active,High Risk
OneWeb-0402 ,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2021-12-27,5.0,Active,High Risk
OneWeb-0403 ,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2021-12-27,5.0,Active,High Risk
OneWeb-0404 ,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2021-12-27,5.0,Active,High Risk
OneWeb-0405 ,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2021-12-27,5.0,Active,High Risk
OneWeb-0406 ,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2021-12-27,5.0,Active,High Risk
OneWeb-0407 ,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2021-12-27,5.0,Active,High Risk
OneWeb-0409 ,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2021-12-27,5.0,Active,High Risk
OneWeb-0410,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2022-02-10,5.0,Active,High Risk
OneWeb-0411,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2022-02-10,5.0,Active,High Risk
OneWeb-0412 ,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2021-12-27,5.0,Active,High Risk
OneWeb-0413 ,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2021-12-27,5.0,Active,High Risk
OneWeb-0414 ,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2021-12-27,5.0,Active,High Risk
OneWeb-0415,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2022-02-10,5.0,Active,High Risk
OneWeb-0416,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2022-02-10,5.0,Active,High Risk
OneWeb-0417 ,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2021-12-27,5.0,Active,High Risk
OneWeb-0418 ,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2021-12-27,5.0,Active,High Risk
OneWeb-0419 ,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2021-12-27,5.0,Active,High Risk
OneWeb-0420 ,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2021-12-27,5.0,Active,High Risk
OneWeb-0421 ,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2021-12-27,5.0,Active,High Risk
OneWeb-0422,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2022-02-10,5.0,Active,High Risk
OneWeb-0423,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2022-02-10,5.0,Active,High Risk
OneWeb-0424 ,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2021-12-27,5.0,Active,High Risk
OneWeb-0425,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2022-02-10,5.0,Active,High Risk
OneWeb-0426 ,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2021-12-27,5.0,Active,High Risk
OneWeb-0427 ,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2021-12-27,5.0,Active,High Risk
OneWeb-0428,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2022-02-10,5.0,Active,High Risk
OneWeb-0429 ,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2021-12-27,5.0,Active,High Risk
OneWeb-0430 ,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2021-12-27,5.0,Active,High Risk
OneWeb-0431,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2022-02-10,5.0,Active,High Risk
OneWeb-0432 ,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2021-12-27,5.0,Active,High Risk
OneWeb-0434,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2022-02-10,5.0,Active,High Risk
OneWeb-0435,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2022-02-10,5.0,Active,High Risk
OneWeb-0436,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2022-02-10,5.0,Active,High Risk
OneWeb-0438,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2022-02-10,5.0,Active,High Risk
OneWeb-0439,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2022-02-10,5.0,Active,High Risk
OneWeb-0440 ,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2021-12-27,5.0,Active,High Risk
OneWeb-0442,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2022-02-10,5.0,Active,High Risk
OneWeb-0443,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2022-02-10,5.0,Active,High Risk
OneWeb-0444,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2022-02-10,5.0,Active,High Risk
OneWeb-0445,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2022-02-10,5.0,Active,High Risk
OneWeb-0446,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2022-02-10,5.0,Active,High Risk
OneWeb-0448,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2022-02-10,5.0,Active,High Risk
OneWeb-0449,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2022-02-10,5.0,Active,High Risk
OneWeb-0450 ,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2021-12-27,5.0,Active,High Risk
OneWeb-0451,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2022-02-10,5.0,Active,High Risk
OneWeb-0452,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2022-02-10,5.0,Active,High Risk
OneWeb-0455,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2022-02-10,5.0,Active,High Risk
OneWeb-0456,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2022-02-10,5.0,Active,High Risk
OneWeb-0457,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2022-02-10,5.0,Active,High Risk
OneWeb-0458,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2022-02-10,5.0,Active,High Risk
OneWeb-0461,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2022-02-10,5.0,Active,High Risk
OneWeb-0463,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2022-02-10,5.0,Active,High Risk
OneWeb-0464,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2022-02-10,5.0,Active,High Risk
OneWeb-0468,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2022-02-10,5.0,Active,High Risk
OneWeb-0473,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2022-02-10,5.0,Active,High Risk
OneWeb-0474,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2022-02-10,5.0,Active,High Risk
OneWeb-0475,United Kingdom,Commercial,Communications,LEO,590.0,600.0,148.0,2022-02-10,5.0,Active,High Risk
OneWeb-0490 ,United Kingdom,Commercial,Communications,LEO,1184.0,1188.0,148.0,2022-10-22,5.0,Active,High Risk
OneWeb-0492 ,United Kingdom,Commercial,Communications,LEO,1184.0,1188.0,148.0,2022-10-22,5.0,Active,High Risk
OneWeb-0495 ,United Kingdom,Commercial,Communications,LEO,1184.0,1188.0,148.0,2022-10-22,5.0,Active,High Risk
OneWeb-0497 ,United Kingdom,Commercial,Communications,LEO,1184.0,1188.0,148.0,2022-10-22,5.0,Active,High Risk
OneWeb-0499 ,United Kingdom,Commercial,Communications,LEO,1184.0,1188.0,148.0,2022-10-22,5.0,Active,High Risk
OneWeb-0500 ,United Kingdom,Commercial,Communications,LEO,1184.0,1188.0,148.0,2022-10-22,5.0,Active,High Risk
OneWeb-0501 ,United Kingdom,Commercial,Communications,LEO,1184.0,1188.0,148.0,2022-10-22,5.0,Active,High Risk
OneWeb-0502 ,United Kingdom,Commercial,Communications,LEO,1184.0,1188.0,148.0,2022-10-22,5.0,Active,High Risk
OneWeb-0503 ,United Kingdom,Commercial,Communications,LEO,1184.0,1188.0,148.0,2022-10-22,5.0,Active,High Risk
OneWeb-0504 ,United Kingdom,Commercial,Communications,LEO,1184.0,1188.0,148.0,2022-10-22,5.0,Active,High Risk
OneWeb-0505 ,United Kingdom,Commercial,Communications,LEO,1184.0,1188.0,148.0,2022-10-22,5.0,Active,High Risk
OneWeb-0506 ,United Kingdom,Commercial,Communications,LEO,1184.0,1188.0,148.0,2022-10-22,5.0,Active,High Risk
OneWeb-0507 ,United Kingdom,Commercial,Communications,LEO,1184.0,1188.0,148.0,2022-10-22,5.0,Active,High Risk
OneWeb-0508 ,United Kingdom,Commercial,Communications,LEO,1184.0,1188.0,148.0,2022-10-22,5.0,Active,High Risk
OneWeb-0509 ,United Kingdom,Commercial,Communications,LEO,1184.0,1188.0,148.0,2022-10-22,5.0,Active,High Risk
OneWeb-0510 ,United Kingdom,Commercial,Communications,LEO,655.0,671.0,148.0,2022-10-22,5.0,Active,High Risk
OneWeb-0511 ,United Kingdom,Commercial,Communications,LEO,1184.0,1188.0,148.0,2022-10-22,5.0,Active,High Risk
OneWeb-0512 ,United Kingdom,Commercial,Communications,LEO,1184.0,1188.0,148.0,2022-10-22,5.0,Active,High Risk
OneWeb-0513 ,United Kingdom,Commercial,Communications,LEO,1184.0,1188.0,148.0,2022-10-22,5.0,Active,High Risk
OneWeb-0514 ,United Kingdom,Commercial,Communications,LEO,1184.0,1188.0,148.0,2022-10-22,5.0,Active,High Risk
OneWeb-0515 ,United Kingdom,Commercial,Communications,LEO,655.0,672.0,148.0,2022-10-22,5.0,Active,High Risk
OneWeb-0516 ,United Kingdom,Commercial,Communications,LEO,1184.0,1188.0,148.0,2022-10-22,5.0,Active,High Risk
OneWeb-0517 ,United Kingdom,Commercial,Communications,LEO,1184.0,1188.0,148.0,2022-10-22,5.0,Active,High Risk
OneWeb-0518 ,United Kingdom,Commercial,Communications,LEO,1184.0,1188.0,148.0,2022-10-22,5.0,Active,High Risk
OneWeb-0519 ,United Kingdom,Commercial,Communications,LEO,1184.0,1188.0,148.0,2022-10-22,5.0,Active,High Risk
OneWeb-0520 ,United Kingdom,Commercial,Communications,LEO,655.0,670.0,148.0,2022-10-22,5.0,Active,High Risk
OneWeb-0521 ,United Kingdom,Commercial,Communications,LEO,656.0,671.0,148.0,2022-10-22,5.0,Active,High Risk
OneWeb-0522 ,United Kingdom,Commercial,Communications,LEO,1184.0,1188.0,148.0,2022-10-22,5.0,Active,High Risk
OneWeb-0523 ,United Kingdom,Commercial,Communications,LEO,655.0,672.0,148.0,2022-10-22,5.0,Active,High Risk
OneWeb-0524 ,United Kingdom,Commercial,Communications,LEO,656.0,672.0,148.0,2022-10-22,5.0,Active,High Risk
OneWeb-0525 ,United Kingdom,Commercial,Communications,LEO,1184.0,1188.0,148.0,2022-10-22,5.0,Active,High Risk
OneWeb-0526 ,United Kingdom,Commercial,Communications,LEO,1184.0,1188.0,148.0,2022-10-22,5.0,Active,High Risk
OneWeb-0527 ,United Kingdom,Commercial,Communications,LEO,1177.0,1179.0,148.0,2022-12-08,5.0,Active,High Risk
OneWeb-0528 ,United Kingdom,Commercial,Communications,LEO,1176.0,1179.0,148.0,2022-12-08,5.0,Active,High Risk
OneWeb-0529 ,United Kingdom,Commercial,Communications,LEO,1184.0,1188.0,148.0,2022-10-22,5.0,Active,High Risk
OneWeb-0531 ,United Kingdom,Commercial,Communications,LEO,655.0,672.0,148.0,2022-10-22,5.0,Active,High Risk
OneWeb-0532             ,United Kingdom,Commercial,Communications,LEO,1200.0,1202.0,148.0,2023-01-10,5.0,Active,High Risk
OneWeb-0533                ,United Kingdom,Commercial,Communications,LEO,1200.0,1202.0,148.0,2023-01-10,5.0,Active,High Risk
OneWeb-0535 ,United Kingdom,Commercial,Communications,LEO,1184.0,1187.0,148.0,2022-10-22,5.0,Active,High Risk
OneWeb-0536 ,United Kingdom,Commercial,Communications,LEO,656.0,671.0,148.0,2022-10-22,5.0,Active,High Risk
OneWeb-0539 ,United Kingdom,Commercial,Communications,LEO,1176.0,1179.0,148.0,2022-12-08,5.0,Active,High Risk
OneWeb-0540 ,United Kingdom,Commercial,Communications,LEO,1176.0,1179.0,148.0,2022-12-08,5.0,Active,High Risk
OneWeb-0541                ,United Kingdom,Commercial,Communications,LEO,1200.0,1202.0,148.0,2023-01-10,5.0,Active,High Risk
OneWeb-0542 ,United Kingdom,Commercial,Communications,LEO,1176.0,1179.0,148.0,2022-12-08,5.0,Active,High Risk
OneWeb-0543                ,United Kingdom,Commercial,Communications,LEO,1200.0,1202.0,148.0,2023-01-10,5.0,Active,High Risk
OneWeb-0544                ,United Kingdom,Commercial,Communications,LEO,1200.0,1202.0,148.0,2023-01-10,5.0,Active,High Risk
OneWeb-0545 ,United Kingdom,Commercial,Communications,LEO,1176.0,1179.0,148.0,2022-12-08,5.0,Active,High Risk
OneWeb-0553                ,United Kingdom,Commercial,Communications,LEO,733.0,738.0,148.0,2023-03-26,5.0,Active,High Risk
OneWeb-0554                ,United Kingdom,Commercial,Communications,LEO,733.0,738.0,148.0,2023-03-26,5.0,Active,High Risk
OneWeb-0555                ,United Kingdom,Commercial,Communications,LEO,733.0,738.0,148.0,2023-03-26,5.0,Active,High Risk
OneWeb-0557                ,United Kingdom,Commercial,Communications,LEO,733.0,738.0,148.0,2023-03-26,5.0,Active,High Risk
OneWeb-0558                ,United Kingdom,Commercial,Communications,LEO,733.0,738.0,148.0,2023-03-26,5.0,Active,High Risk
OneWeb-0559                ,United Kingdom,Commercial,Communications,LEO,733.0,738.0,148.0,2023-03-26,5.0,Active,High Risk
OneWeb-0560                ,United Kingdom,Commercial,Communications,LEO,1200.0,1202.0,148.0,2023-01-10,5.0,Active,High Risk
OneWeb-0564                ,United Kingdom,Commercial,Communications,LEO,977.0,982.0,148.0,2023-03-09,5.0,Active,High Risk
OneWeb-0565                ,United Kingdom,Commercial,Communications,LEO,1200.0,1202.0,148.0,2023-01-10,5.0,Active,High Risk
OneWeb-0566                ,United Kingdom,Commercial,Communications,LEO,733.0,738.0,148.0,2023-03-26,5.0,Active,High Risk
OneWeb-0567                ,United Kingdom,Commercial,Communications,LEO,1200.0,1202.0,148.0,2023-01-10,5.0,Active,High Risk
OneWeb-0568                ,United Kingdom,Commercial,Communications,LEO,733.0,738.0,148.0,2023-03-26,5.0,Active,High Risk
OneWeb-0569                ,United Kingdom,Commercial,Communications,LEO,1200.0,1202.0,148.0,2023-01-10,5.0,Active,High Risk
OneWeb-0570                ,United Kingdom,Commercial,Communications,LEO,1200.0,1202.0,148.0,2023-01-10,5.0,Active,High Risk
OneWeb-0571                ,United Kingdom,Commercial,Communications,LEO,1200.0,1202.0,148.0,2023-01-10,5.0,Active,High Risk
OneWeb-0572                ,United Kingdom,Commercial,Communications,LEO,1200.0,1202.0,148.0,2023-01-10,5.0,Active,High Risk
OneWeb-0573                ,United Kingdom,Commercial,Communications,LEO,1200.0,1202.0,148.0,2023-01-10,5.0,Active,High Risk
OneWeb-0574                ,United Kingdom,Commercial,Communications,LEO,733.0,738.0,148.0,2023-03-26,5.0,Active,High Risk
OneWeb-0575                ,United Kingdom,Commercial,Communications,LEO,733.0,738.0,148.0,2023-03-26,5.0,Active,High Risk
OneWeb-0576                ,United Kingdom,Commercial,Communications,LEO,733.0,738.0,148.0,2023-03-26,5.0,Active,High Risk
OneWeb-0577                ,United Kingdom,Commercial,Communications,LEO,733.0,738.0,148.0,2023-03-26,5.0,Active,High Risk
OneWeb-0578                ,United Kingdom,Commercial,Communications,LEO,733.0,738.0,148.0,2023-03-26,5.0,Active,High Risk
OneWeb-0579                ,United Kingdom,Commercial,Communications,LEO,733.0,738.0,148.0,2023-03-26,5.0,Active,High Risk
OneWeb-0580 ,United Kingdom,Commercial,Communications,LEO,1176.0,1179.0,148.0,2022-12-08,5.0,Active,High Risk
OneWeb-0581                ,United Kingdom,Commercial,Communications,LEO,733.0,738.0,148.0,2023-03-26,5.0,Active,High Risk
OneWeb-0582 ,United Kingdom,Commercial,Communications,LEO,1176.0,1179.0,148.0,2022-12-08,5.0,Active,High Risk
OneWeb-0583 ,United Kingdom,Commercial,Communications,LEO,1176.0,1179.0,148.0,2022-12-08,5.0,Active,High Risk
OneWeb-0584 ,United Kingdom,Commercial,Communications,LEO,1176.0,1179.0,148.0,2022-12-08,5.0,Active,High Risk
OneWeb-0585 ,United Kingdom,Commercial,Communications,LEO,1176.0,1179.0,148.0,2022-12-08,5.0,Active,High Risk
OneWeb-0586 ,United Kingdom,Commercial,Communications,LEO,1176.0,1179.0,148.0,2022-12-08,5.0,Active,High Risk
OneWeb-0587 ,United Kingdom,Commercial,Communications,LEO,1123.0,1131.0,148.0,2022-12-08,5.0,Active,High Risk
OneWeb-0588                ,United Kingdom,Commercial,Communications,LEO,1200.0,1202.0,148.0,2023-01-10,5.0,Active,High Risk
OneWeb-0589 ,United Kingdom,Commercial,Communications,LEO,1176.0,1179.0,148.0,2022-12-08,5.0,Active,High Risk
OneWeb-0590 ,United Kingdom,Commercial,Communications,LEO,1176.0,1179.0,148.0,2022-12-08,5.0,Active,High Risk
OneWeb-0591 ,United Kingdom,Commercial,Communications,LEO,1176.0,1179.0,148.0,2022-12-08,5.0,Active,High Risk
OneWeb-0592 ,United Kingdom,Commercial,Communications,LEO,1176.0,1179.0,148.0,2022-12-08,5.0,Active,High Risk
OneWeb-0593 ,United Kingdom,Commercial,Communications,LEO,1176.0,1179.0,148.0,2022-12-08,5.0,Active,High Risk
OneWeb-0594 ,United Kingdom,Commercial,Communications,LEO,1176.0,1179.0,148.0,2022-12-08,5.0,Active,High Risk
OneWeb-0595 ,United Kingdom,Commercial,Communications,LEO,1176.0,1179.0,148.0,2022-12-08,5.0,Active,High Risk
OneWeb-0596 ,United Kingdom,Commercial,Communications,LEO,1176.0,1179.0,148.0,2022-12-08,5.0,Active,High Risk
OneWeb-0597 ,United Kingdom,Commercial,Communications,LEO,1176.0,1179.0,148.0,2022-12-08,5.0,Active,High Risk
OneWeb-0598                ,United Kingdom,Commercial,Communications,LEO,1200.0,1202.0,148.0,2023-01-10,5.0,Active,High Risk
OneWeb-0599                ,United Kingdom,Commercial,Communications,LEO,1200.0,1202.0,148.0,2023-01-10,5.0,Active,High Risk
OneWeb-0600 ,United Kingdom,Commercial,Communications,LEO,1176.0,1179.0,148.0,2022-12-08,5.0,Active,High Risk
OneWeb-0601 ,United Kingdom,Commercial,Communications,LEO,1176.0,1179.0,148.0,2022-12-08,5.0,Active,High Risk
OneWeb-0602 ,United Kingdom,Commercial,Communications,LEO,1176.0,1179.0,148.0,2022-12-08,5.0,Active,High Risk
OneWeb-0603 ,United Kingdom,Commercial,Communications,LEO,1176.0,1179.0,148.0,2022-12-08,5.0,Active,High Risk
OneWeb-0604 ,United Kingdom,Commercial,Communications,LEO,1176.0,1179.0,148.0,2022-12-08,5.0,Active,High Risk
OneWeb-0605 ,United Kingdom,Commercial,Communications,LEO,1176.0,1179.0,148.0,2022-12-08,5.0,Active,High Risk
OneWeb-0606 ,United Kingdom,Commercial,Communications,LEO,1176.0,1179.0,148.0,2022-12-08,5.0,Active,High Risk
OneWeb-0607 ,United Kingdom,Commercial,Communications,LEO,1176.0,1179.0,148.0,2022-12-08,5.0,Active,High Risk
OneWeb-0608 ,United Kingdom,Commercial,Communications,LEO,1176.0,1179.0,148.0,2022-12-08,5.0,Active,High Risk
OneWeb-0609                ,United Kingdom,Commercial,Communications,LEO,733.0,738.0,148.0,2023-03-26,5.0,Active,High Risk
OneWeb-0610 ,United Kingdom,Commercial,Communications,LEO,1176.0,1179.0,148.0,2022-12-08,5.0,Active,High Risk
OneWeb-0611 ,United Kingdom,Commercial,Communications,LEO,1176.0,1179.0,148.0,2022-12-08,5.0,Active,High Risk
OneWeb-0612 ,United Kingdom,Commercial,Communications,LEO,1176.0,1179.0,148.0,2022-12-08,5.0,Active,High Risk
OneWeb-0613                ,United Kingdom,Commercial,Communications,LEO,733.0,738.0,148.0,2023-03-26,5.0,Active,High Risk
OneWeb-0614                ,United Kingdom,Commercial,Communications,LEO,1200.0,1202.0,148.0,2023-01-10,5.0,Active,High Risk
OneWeb-0615 ,United Kingdom,Commercial,Communications,LEO,1176.0,1179.0,148.0,2022-12-08,5.0,Active,High Risk
OneWeb-0616                ,United Kingdom,Commercial,Communications,LEO,1200.0,1202.0,148.0,2023-01-10,5.0,Active,High Risk
OneWeb-0617                ,United Kingdom,Commercial,Communications,LEO,1200.0,1202.0,148.0,2023-01-10,5.0,Active,High Risk
OneWeb-0618                ,United Kingdom,Commercial,Communications,LEO,1200.0,1202.0,148.0,2023-01-10,5.0,Active,High Risk
OneWeb-0619                ,United Kingdom,Commercial,Communications,LEO,1200.0,1202.0,148.0,2023-01-10,5.0,Active,High Risk
OneWeb-0620                ,United Kingdom,Commercial,Communications,LEO,1200.0,1202.0,148.0,2023-01-10,5.0,Active,High Risk
OneWeb-0621                ,United Kingdom,Commercial,Communications,LEO,1200.0,1202.0,148.0,2023-01-10,5.0,Active,High Risk
OneWeb-0622                ,United Kingdom,Commercial,Communications,LEO,1200.0,1202.0,148.0,2023-01-10,5.0,Active,High Risk
OneWeb-0623                ,United Kingdom,Commercial,Communications,LEO,1200.0,1202.0,148.0,2023-01-10,5.0,Active,High Risk
OneWeb-0624                ,United Kingdom,Commercial,Communications,LEO,1200.0,1202.0,148.0,2023-01-10,5.0,Active,High Risk
OneWeb-0625                ,United Kingdom,Commercial,Communications,LEO,1200.0,1202.0,148.0,2023-01-10,5.0,Active,High Risk
OneWeb-0626                ,United Kingdom,Commercial,Communications,LEO,1200.0,1202.0,148.0,2023-01-10,5.0,Active,High Risk
OneWeb-0627                ,United Kingdom,Commercial,Communications,LEO,1200.0,1202.0,148.0,2023-01-10,5.0,Active,High Risk
OneWeb-0628                ,United Kingdom,Commercial,Communications,LEO,1200.0,1202.0,148.0,2023-01-10,5.0,Active,High Risk
OneWeb-0630                ,United Kingdom,Commercial,Communications,LEO,733.0,738.0,148.0,2023-03-26,5.0,Active,High Risk
OneWeb-0632                ,United Kingdom,Commercial,Communications,LEO,733.0,738.0,148.0,2023-03-26,5.0,Active,High Risk
OneWeb-0633                ,United Kingdom,Commercial,Communications,LEO,733.0,738.0,148.0,2023-03-26,5.0,Active,High Risk
OneWeb-0634                ,United Kingdom,Commercial,Communications,LEO,733.0,738.0,148.0,2023-03-26,5.0,Active,High Risk
OneWeb-0635                ,United Kingdom,Commercial,Communications,LEO,733.0,738.0,148.0,2023-03-26,5.0,Active,High Risk
OneWeb-0636                ,United Kingdom,Commercial,Communications,LEO,733.0,738.0,148.0,2023-03-26,5.0,Active,High Risk
OneWeb-0637                ,United Kingdom,Commercial,Communications,LEO,733.0,738.0,148.0,2023-03-26,5.0,Active,High Risk
OneWeb-0638                ,United Kingdom,Commercial,Communications,LEO,977.0,982.0,148.0,2023-03-09,5.0,Active,High Risk
OneWeb-0639                ,United Kingdom,Commercial,Communications,LEO,977.0,982.0,148.0,2023-03-09,5.0,Active,High Risk
OneWeb-0640                ,United Kingdom,Commercial,Communications,LEO,977.0,982.0,148.0,2023-03-09,5.0,Active,High Risk
OneWeb-0641                ,United Kingdom,Commercial,Communications,LEO,977.0,982.0,148.0,2023-03-09,5.0,Active,High Risk
OneWeb-0642                ,United Kingdom,Commercial,Communications,LEO,977.0,982.0,148.0,2023-03-09,5.0,Active,High Risk
OneWeb-0643                ,United Kingdom,Commercial,Communications,LEO,977.0,982.0,148.0,2023-03-09,5.0,Active,High Risk
OneWeb-0644                ,United Kingdom,Commercial,Communications,LEO,977.0,982.0,148.0,2023-03-09,5.0,Active,High Risk
OneWeb-0645                ,United Kingdom,Commercial,Communications,LEO,977.0,982.0,148.0,2023-03-09,5.0,Active,High Risk
OneWeb-0646                ,United Kingdom,Commercial,Communications,LEO,977.0,982.0,148.0,2023-03-09,5.0,Active,High Risk
OneWeb-0647                ,United Kingdom,Commercial,Communications,LEO,733.0,738.0,148.0,2023-03-26,5.0,Active,High Risk
OneWeb-0648                ,United Kingdom,Commercial,Communications,LEO,977.0,982.0,148.0,2023-03-09,5.0,Active,High Risk
OneWeb-0649                ,United Kingdom,Commercial,Communications,LEO,977.0,982.0,148.0,2023-03-09,5.0,Active,High Risk
OneWeb-0650                ,United Kingdom,Commercial,Communications,LEO,977.0,982.0,148.0,2023-03-09,5.0,Active,High Risk
OneWeb-0651                ,United Kingdom,Commercial,Communications,LEO,733.0,738.0,148.0,2023-03-26,5.0,Active,High Risk
OneWeb-0652                ,United Kingdom,Commercial,Communications,LEO,977.0,982.0,148.0,2023-03-09,5.0,Active,High Risk
OneWeb-0653                ,United Kingdom,Commercial,Communications,LEO,977.0,982.0,148.0,2023-03-09,5.0,Active,High Risk
OneWeb-0654                ,United Kingdom,Commercial,Communications,LEO,977.0,982.0,148.0,2023-03-09,5.0,Active,High Risk
OneWeb-0655 ,United Kingdom,Commercial,Communications,LEO,1176.0,1179.0,148.0,2022-12-08,5.0,Active,High Risk
OneWeb-0656                ,United Kingdom,Commercial,Communications,LEO,977.0,982.0,148.0,2023-03-09,5.0,Active,High Risk
OneWeb-0657                ,United Kingdom,Commercial,Communications,LEO,977.0,982.0,148.0,2023-03-09,5.0,Active,High Risk
OneWeb-0658                ,United Kingdom,Commercial,Communications,LEO,977.0,982.0,148.0,2023-03-09,5.0,Active,High Risk
OneWeb-0659 ,United Kingdom,Commercial,Communications,LEO,1176.0,1179.0,148.0,2022-12-08,5.0,Active,High Risk
OneWeb-0660                ,United Kingdom,Commercial,Communications,LEO,977.0,982.0,148.0,2023-03-09,5.0,Active,High Risk
OneWeb-0661                ,United Kingdom,Commercial,Communications,LEO,977.0,982.0,148.0,2023-03-09,5.0,Active,High Risk
OneWeb-0662                ,United Kingdom,Commercial,Communications,LEO,977.0,982.0,148.0,2023-03-09,5.0,Active,High Risk
OneWeb-0663                ,United Kingdom,Commercial,Communications,LEO,977.0,982.0,148.0,2023-03-09,5.0,Active,High Risk
OneWeb-0664                ,United Kingdom,Commercial,Communications,LEO,977.0,982.0,148.0,2023-03-09,5.0,Active,High Risk
OneWeb-0665                ,United Kingdom,Commercial,Communications,LEO,977.0,982.0,148.0,2023-03-09,5.0,Active,High Risk
OneWeb-0666                ,United Kingdom,Commercial,Communications,LEO,977.0,982.0,148.0,2023-03-09,5.0,Active,High Risk
OneWeb-0667                ,United Kingdom,Commercial,Communications,LEO,977.0,982.0,148.0,2023-03-09,5.0,Active,High Risk
OneWeb-0669                ,United Kingdom,Commercial,Communications,LEO,977.0,982.0,148.0,2023-03-09,5.0,Active,High Risk
