Current Official Name of Satellite,Country of Operator/Owner,Users,Purpose,Class of Orbit,Perigee (km),Apogee (km),Launch Mass (kg.),Date of Launch,Expected Lifetime (yrs.),Satellite Status,Risk Cluster
Starlink-2658,USA,Commercial,Communications,LEO,260.0,280.0,260.0,2021-05-09,4.0,Inactive (Archaeology),High Risk
Starlink-2659,USA,Commercial,Communications,LEO,260.0,280.0,260.0,2021-05-09,4.0,Inactive (Archaeology),High Risk
Starlink-2661,USA,Commercial,Communications,LEO,260.0,280.0,260.0,2021-05-09,4.0,Inactive (Archaeology),High Risk
Starlink-2666,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2667,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2672,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2673,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2674,USA,Commercial,Communications,LEO,260.0,280.0,260.0,2021-05-04,4.0,Inactive (Archaeology),High Risk
Starlink-2675,USA,Commercial,Communications,LEO,260.0,280.0,260.0,2021-05-09,4.0,Inactive (Archaeology),High Risk
Starlink-2680,USA,Commercial,Communications,LEO,260.0,280.0,260.0,2021-05-09,4.0,Inactive (Archaeology),High Risk
Starlink-2681,USA,Commercial,Communications,LEO,260.0,280.0,260.0,2021-05-09,4.0,Inactive (Archaeology),High Risk
Starlink-2682,USA,Commercial,Communications,LEO,260.0,280.0,260.0,2021-05-09,4.0,Inactive (Archaeology),High Risk
Starlink-2683,USA,Commercial,Communications,LEO,260.0,280.0,260.0,2021-05-09,4.0,Inactive (Archaeology),High Risk
Starlink-2684,USA,Commercial,Communications,LEO,260.0,280.0,260.0,2021-05-09,4.0,Inactive (Archaeology),High Risk
Starlink-2685,USA,Commercial,Communications,LEO,260.0,280.0,260.0,2021-05-09,4.0,Inactive (Archaeology),High Risk
Starlink-2686,USA,Commercial,Communications,LEO,260.0,280.0,260.0,2021-05-09,4.0,Inactive (Archaeology),High Risk
Starlink-2687,USA,Commercial,Communications,LEO,260.0,280.0,260.0,2021-05-09,4.0,Inactive (Archaeology),High Risk
Starlink-2688,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2689,USA,Commercial,Communications,LEO,260.0,280.0,260.0,2021-05-09,4.0,Inactive (Archaeology),High Risk
Starlink-2690,USA,Commercial,Communications,LEO,260.0,280.0,260.0,2021-05-09,4.0,Inactive (Archaeology),High Risk
Starlink-2691,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2692,USA,Commercial,Communications,LEO,260.0,280.0,260.0,2021-05-09,4.0,Inactive (Archaeology),High Risk
Starlink-2693,USA,Commercial,Communications,LEO,260.0,280.0,260.0,2021-05-09,4.0,Inactive (Archaeology),High Risk
Starlink-2695,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2696,USA,Commercial,Communications,LEO,260.0,280.0,260.0,2021-05-09,4.0,Inactive (Archaeology),High Risk
Starlink-2697,USA,Commercial,Communications,LEO,260.0,280.0,260.0,2021-05-09,4.0,Inactive (Archaeology),High Risk
Starlink-2698,USA,Commercial,Communications,LEO,260.0,280.0,260.0,2021-05-09,4.0,Inactive (Archaeology),High Risk
Starlink-2699,USA,Commercial,Communications,LEO,260.0,280.0,260.0,2021-05-09,4.0,Inactive (Archaeology),High Risk
